Site,Parameter,Date (LT),Year,Month,Day,Hour,Raw Conc.,Average,Conc. Unit,Duration,QC Name
Dhaka,PM2.5 - Principal,1/5/2018 0:00,2018,1,5,0,229,206.8333333,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/5/2018 1:00,2018,1,5,1,-999,,UG/M3,1 Hr,Missing
Dhaka,PM2.5 - Principal,1/5/2018 2:00,2018,1,5,2,-999,,UG/M3,1 Hr,Missing
Dhaka,PM2.5 - Principal,1/5/2018 3:00,2018,1,5,3,-999,,UG/M3,1 Hr,Missing
Dhaka,PM2.5 - Principal,1/5/2018 4:00,2018,1,5,4,-999,,UG/M3,1 Hr,Missing
Dhaka,PM2.5 - Principal,1/8/2018 12:00,2018,1,8,12,184,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/8/2018 14:00,2018,1,8,14,184,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/8/2018 15:00,2018,1,8,15,172,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/8/2018 16:00,2018,1,8,16,167,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/8/2018 17:00,2018,1,8,17,160,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/8/2018 18:00,2018,1,8,18,181,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/8/2018 19:00,2018,1,8,19,204,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/8/2018 20:00,2018,1,8,20,226,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/8/2018 21:00,2018,1,8,21,250,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/8/2018 22:00,2018,1,8,22,270,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/8/2018 23:00,2018,1,8,23,255,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 0:00,2018,1,9,0,232,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 1:00,2018,1,9,1,239,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 2:00,2018,1,9,2,211,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 3:00,2018,1,9,3,211,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 4:00,2018,1,9,4,230,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 5:00,2018,1,9,5,235,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 6:00,2018,1,9,6,239,,UG/M3,1 Hr,Valid
Dhaka,PM2.5 - Principal,1/9/2018 7:00,2018,1,9,7,222,,UG/M3,1 Hr,Valid
